Location,Period,Kitchen,Dish_Name,Description,Portion_Size,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
Stetson_East,Breakfast,RICE STATION,White Rice,White Rice Cooked with Canola Oil and Salt,1/2 cup,"Water, Long Grain White Rice^, Canola Oil, Salt",120,2,23,0,1.5,0,0,0.0,30,50,20,0.9,0.0,0,0,15,0,0,"Vegetarian, Avoiding Gluten, Vegan, How Good Friendly"
Stetson_East,Breakfast,RICE STATION,Brown Rice,Lightly seasoned,1/2 cup,"Water, Brown Rice",110,2,23,0,1,0,0,1,0,70,0,0.4,0,0,0,10,0,0,"Vegetarian, Avoiding Gluten, Vegan"
Stetson_East,Breakfast,RICE STATION,Olive Oil,,1 floz,Olive Oil,240,0,0,0,27,3.5,0,0,0,0,0,0.2,0.0,0,0,240,0.0,5,"Vegetarian, Avoiding Gluten, Vegan"
Stetson_East,Breakfast,RICE STATION,Gluten Free Soy Sauce,,1 floz,Less Sodium Gluten Free Soy Sauce^,20,1,4,2,0,0,0,0,880,200,0,0,0,0,0.0,0,0.0,0,"Vegetarian, Avoiding Gluten, Soy, Vegan"
Stetson_East,Breakfast,RICE STATION,Seasoned Rice Vinegar,,1 floz,Seasoned Rice Vinegar^,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,"Vegetarian, Vegan"
Stetson_East,Breakfast,HOMESTYLE,Scrambled Eggs,,1/2 cup,"Liquid Egg^, Canola Oil",210,14,1,0,16,4,420,0,150,150,70,2,0,120,0,140,0.0,5,"Egg, Vegetarian, Avoiding Gluten, Good Source of Protein"
Stetson_East,Breakfast,HOMESTYLE,Chicken Sausage Patty,,1 each,Chicken Sausage^,90,9,1,0,5,1.5,35,0,250,180,10,0.4,0,0,0.0,45,0.0,0,"Avoiding Gluten, Good Source of Protein, Celery*, Mustard*, Poultry"
Stetson_East,Breakfast,HOMESTYLE,Herb Roasted Potato Wedges,Red bliss potatoes with fresh herbs and garlic,4 oz portion,"Red Bliss Potatoes, Canola Oil, Kosher Salt^, Garlic, Parsley, Basil, Oregano, Thyme, Ground Paprika^, Black Pepper",150,3,23,2,6,0,0,2,390,630,20,1,0,0,16,50,0.0,0,"Vegetarian, Avoiding Gluten, Garlic, Vegan, How Good Friendly"
Stetson_East,Breakfast,HOMESTYLE,Buttermilk Pancakes,,2 each,"Water, Pancake Mix^, Cooking Spray^",170,4,33,6,2.5,1,5,1,520,90,70,1.8,0,0,0,20,0,0,"Egg, Vegetarian, Gluten, Milk, Soy, Wheat"
Stetson_East,Breakfast,HOMESTYLE,Meatless Vegetarian Sausage Patty,,1 each,Meatless Sausage^,70,9,4,0.0,2.5,0,0,0.0,250,100,0,1.6,0,0,0,20,0,0,"Egg, Vegetarian, Good Source of Protein, Celery*, Gluten, Milk, MSG*, Mustard*, Onion, Soy, Wheat"
Stetson_East,Breakfast,MENUTAINMENT,Eggs Your Way,,1 each,Egg,60,6,0,0,4,1.5,165,0,60,60,20,0.8,0,35,0,40,0.0,0,"Egg, Vegetarian, Avoiding Gluten"
Stetson_East,Breakfast,MENUTAINMENT,Eggs,,1/4 cup,Liquid Egg^,90,7,0.0,0,6,2,225,0,80,80,40,1.1,0,60,0,50,0.0,0,"Egg, Vegetarian, Avoiding Gluten, Good Source of Protein"
