Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
LET'S TOAST,Thinly Sliced Deli Turkey Breast,,1 ounce,Turkey,30,4,less than 1 gram,0,1,0,15,0,260,40,0,0.2,0,0,0,10,0,0,Poultry
LET'S TOAST,FIT Tuna Salad,Classic tuna salad ,3 oz portion,"Tuna, Canola Oil, Onions, Celery, Lemon Juice, Light Mayonnaise, Salt, Black Pepper",90,8,less than 1 gram,0,6,0.5,15,0,240,90,10,0.7,0,20,1,50,0+,0,"Egg, MSG*, Onion, Soy*, Mustard, Gluten*, Fish, Celery"
LET'S TOAST,Chicken Salad,"Moist chicken salad, in a low fat dressing",1/3 cup,"Chicken, Mayonnaise, Celery, White Pepper",110,8,0,0+,9,1.5,30,0,150,130,0,0.2,0,0,0,80,5+,0,"Egg, Onion, Poultry, Mustard, Gluten*, Celery"
LET'S TOAST,American Cheese Slice,,1 slice,American Cheese,50,3,less than 1 gram,0,4.5,2.5,15,0,240,20,150,0.1,0,45,0,40,-,5,"Beef*, Milk, Pork*"
LET'S TOAST,Sliced Swiss Cheese,,1 ounce,Swiss Cheese,110,8,0,0,9,5,25,0,55,20,250,0,0,0,0,80,-,5,Milk
LET'S TOAST,Sliced Sharp Cheddar Cheese,,1 ounce,Cheddar Cheese,110,6,less than 1 gram,0,9,5,30,0,190,20,200,0,-,5,0,80,-,5+,Milk
LET'S TOAST,Sliced Provolone Cheese,,1 ounce,Provolone Cheese,100,7,less than 1 gram,0,8,5,20,0,210,40,210,0.1,-,5,0,70,-,5+,Milk
LET'S TOAST,Sliced Pepper Jack Cheese,,1 ounce,Pepper Jack Cheese,110,7,0,0,9,5,25,0,170,20,210,0.2,-,5,0,80,-,5+,Milk
LET'S TOAST,Chopped Romaine Lettuce,,1 cup,Chopped Lettuce,10,less than 1 gram,2,less than 1 gram,0,0,0,less than 1 gram,0,120,20,0.5,0,0,2,0,-,0,
LET'S TOAST,Baby Spinach,,2 cup,Spinach,15,2,2,0,0,0,0,1,45,330,60,1.6,0,0,17,0,-,0,
LET'S TOAST,Sliced Tomatoes,,1 slice,Tomatoes,0,0,less than 1 gram,0,0,0,0,0,0,30,0,0,0,0,2,0,-,0,Tomato
LET'S TOAST,Sliced Red Onion,,1 slice,Onions,5,0,1,less than 1 gram,0,0,0,0,0,20,0,0,0,0,1,0,-,0,Onion
LET'S TOAST,Bread & Butter Pickles,,4 each,Pickles,25,0,6,6,0,0,0,0,160,0,0,0,0,0,-,0,-,0,"Beef*, Pork*, Mustard*"
LET'S TOAST,Banana Pepper Rings,,1 tbsp,Banana Peppers,0,0,0,0,0,0,0,0,30,-,0,0,0,-,0,0,0,0,Sulphites
LET'S TOAST,Sliced Cucumber,,1/4 cup,Cucumber,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,-,0,
LET'S TOAST,Sliced Red Bell Pepper,,1/4 cup,Red Bell Peppers,5,0,1,less than 1 gram,0,0,0,0,0,50,0,0.1,0,0,29,0,-,0,
LET'S TOAST,Mayonnaise,,1 tbsp,Mayonnaise,90,0,0,0,10,1.5,5,0,75,0,0,0,0,0,0,90,0,0,"Egg, Onion, Mustard, Gluten*"
LET'S TOAST,Pesto Mayonnaise,Pesto Mayonnaise,1 tbsp,"Mayonnaise, Basil Pesto, Salt, Black Pepper",90,0,0,0,9,1.5,5,0,90,10,10,0.1,0,0,0,80,10+,0,"Milk, Egg, Onion, Garlic, Mustard, Gluten*"
LET'S TOAST,Chipotle Garlic Ranch,"Ranch dressing, roasted garlic and chipotle peppers",2 tbsp,"Ranch Dressing, Garlic, Chipotle Peppers, Canola Oil, Black Pepper",130,0,1,1,14,2,10,0,180,0,0,0,0,0,0+,130,-,0,"Milk, Egg, Onion, Tomato, Garlic, Mustard*, Celery*"
LET'S TOAST,Dijon Honey Dressing,,2 tbsp,Honey Mustard Dressing,130,0,7,6,12,2,15,0,160,10,0,0,0,0,-,100,0,0,"Egg, Celery*, Mustard"
