Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
CUCINA,Miso Bacon Udon Noodles,Creamy udon noodles with crispy bacon and Parmesan cheese,3/4 cup,"Udon Noodles, Applewood Bacon, Egg, Parmesan Cheese, Green Onions, Miso Paste, Black Pepper",390,9,50,0,13,4,170,0,710,170,160,4.7,-,35,1,120,15+,5+,"Gluten, Milk, Wheat, Egg, Soy, Onion, Pork"
CUCINA,Garlic Breadstick ,"Garlic Breadstick, Butter, and Parsley ",1 each,"French Breadsticks Dough, Butter, Parsley, Garlic",80,2,12,less than 1 gram,3,1.5,5,0,140,30,10,0.8,0,10,0,25,0+,0,"Gluten, Milk, Wheat, Egg, Garlic, Soy*"
CUCINA,Marinara Sauce,,1 ladle-2oz,Marinara Sauce,35,less than 1 gram,7,4,0,0,0,1,230,180,20,0.4,0,0,-,0,-,0,"Onion, Tomato, Garlic, Gluten*"
CUCINA,Caesar Salad,"With romaine lettuce, parmesan cheese, and garlic croutons",1 cup,"Lettuce, White Bread, Parmesan Cheese, Canola Oil, Garlic",110,4,11,2,5,1.5,less than 5 milligrams,1,190,150,100,1,-,0,2+,45,-,0+,"Gluten, Milk, Wheat, Soy, Garlic, Tree Nuts*"
CUCINA,Cheese Pizza,"Traditional pie topped with Italian tomato sauce, mozzarella, and parmesan cheese.",1 slice,"Pizza Dough, Parmesan Cheese, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Salt, Basil, Garlic, Black Pepper",200,10,18,2,10,4,20,less than 1 gram,640,140,230,1.3,0,15,3,90,0+,5,"Gluten, Milk, Wheat, Tomato, Garlic, Egg*, Soy*, Sesame*"
CUCINA,Chicken Tuscano Pizza,"Pizza topped with spinach, roasted garlic, tomatoes, grilled chicken, fresh oregano, mozzarella and feta cheese",1 slice,"Pizza Dough, Chicken, Part Skim Mozzarella Cheese, Tomatoes, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Spinach, Feta Cheese, Parmesan Cheese, Garlic, Oregano, Garlic, Oregano, Red Pepper, Canola Oil",310,25,26,3+,13,6,55,2,750,470,370,2.5,-,20,12,120,0+,5+,"Gluten, Milk, Wheat, Soy, Tomato, Garlic, Egg*, Poultry, Sesame*"
CUCINA,Margarita Pizza,"Taste of tomatoes, fresh mozzarella and fresh basil",1 slice,"Mozzarella Cheese, Pizza Dough, Tomatoes, Basil, Canola Oil, Garlic, Parmesan Cheese, Salt, Basil, Parsley, Garlic, Oregano, Red Pepper, Black Pepper",190,11,16,1+,10,5,30,less than 1 gram,320,110,190,1.2,-,15,3,90,0+,5+,"Gluten, Milk, Wheat, Tomato, Garlic, Egg*, Soy*, Sesame*"
CUCINA,Grated Parmesan Cheese,,1 tbsp,Parmesan Cheese,25,2,less than 1 gram,0,1.5,1,5,0,115,10,50,0,0,0,0,15,-,0,Milk
CUCINA,Crushed Red Pepper,,1 tsp,Red Pepper,5,0,1,0,0,0,0,0,0,40,0,0.1,-,0,1,0,-,0+,
CUCINA,Dried Oregano,,1 tsp,Oregano,0,0,less than 1 gram,0,0,0,0,0,0,10,20,0.4,0,0,0,0,-,0,
RICE STATION,White Rice,White Rice Cooked with Canola Oil and Salt,1/2 cup,"Water, Long Grain White Rice, Canola Oil, Salt",120,2,23,0,1.5,0,0,less than 1 gram,30,50,20,0.9,-,0,0,15,0+,0+,
RICE STATION,Brown Rice,Lightly seasoned,1/2 cup,"Water, Brown Rice",110,2,23,0,1,0,0,1,0,70,0,0.4,0,0,0,10,0+,0,
RICE STATION,Olive Oil,,1 floz,Olive Oil,240,0,0,0,27,3.5,0,0,0,0,0,0.2,-,0,0,240,-,5+,
RICE STATION,Gluten Free Soy Sauce,,1 floz,Soy Sauce,20,1,4,2,0,0,0,0,880,200,0,0,0,0,-,0,-,0,Soy
RICE STATION,Seasoned Rice Vinegar,,1 floz,Seasoned Rice Vinegar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,
HOMESTYLE,Southwest Beef Taco,Lightly spiced beef in a crispy tortilla shell,2 each,"Beef, Cheddar Cheese, Marinara Sauce, Lettuce, Tomatoes, Corn Taco Shell, Onions, Green Bell Peppers, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Garlic, Cumin, Lime, Black Pepper, Salt",520,30,24,6+,34,15,105,4,690,540,490,3,-,15+,7+,310,-,15+,"Milk, Onion, Tomato, Beef, Garlic, Gluten*"
HOMESTYLE,Arroz Rojo,Rice flavored with fresh tomato and garlic,3/4 cup,"Water, Long Grain White Rice, Tomatoes, Onions, Canola Oil, Tomato paste (tomato paste, citric acid), Vegetable Base, Garlic",180,3,28,2,7,0.5,0,1,150,160,30,1.2,-,0,5+,60,0+,0+,"Onion, Tomato, Garlic, Celery"
HOMESTYLE,Spicy Black Beans ,Black Beans with Southwest Spices and Cilantro ,1/2 cup,"Water, Black beans (Black beans, water, salt, calcium chloride), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Onions, Cilantro, Garlic, Sherry Vinegar, Canola Oil, Vegetable Base, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Chipotle Peppers, Sugar, Cumin, Coriander, Salt",100,4,15,3,3.5,0,0,5,500,330,60,2.1,-,0,11+,30,0+,0+,"Onion, Tomato, Garlic, Mustard*, Sulphites, Celery"
HOMESTYLE,Mexican Corn,"Whole kernel sweet corn with bell peppers, pimentos and paprika",1/2 cup,"Corn, Bell Peppers, Green Bell Peppers, Onions, Green Onions, Paprika (Paprika and Silicon Dioxide), Cumin, Canola Oil, Black Pepper",80,2,18,3,0.5,0,0,2,0,240,10,0.6,-,0,11,5,-,0+,Onion
HOMESTYLE,Shredded Iceberg Lettuce,,1/2 ounce,Lettuce,0,0,0,0,0,0,0,0,0,20,0,0.1,0,0,0,0,-,0,
HOMESTYLE,Shredded Cheddar Cheese,,1 tbsp,Cheddar Cheese,30,2,0,0,2.5,1.5,5,0,45,10,50,0,-,0,0,20,-,0+,Milk
HOMESTYLE,Sour Cream,,1 floz,Sour Cream,60,less than 1 gram,1,less than 1 gram,6,3,15,0,10,40,30,0,0,0,0,50,-,5,Milk
HOMESTYLE,Pico de Gallo,"A tangy, bright, fresh salsa.",2 floz,"Tomatoes, Onions, Lime, Jalapeno, Olive Oil, Cilantro, Salt",20,0,2,1,1,0,0,less than 1 gram,90,100,10,0.1,-,0,8,10,-,0+,"Onion, Tomato"
GLOBAL EATS,Hot & Spicy Tofu,Hot and Spicy Tofu,3/4 cup,"Tofu, Green Bell Peppers, Onions, Water, Soy Sauce, White Vinegar, Brown Sugar (sugar, cane syrups), Garlic, Cornstarch, Red Pepper, Canola Oil",150,11,16,8,6,1,0,2,340,390,420,6.4,-,0,42+,50,0+,0+,"Soy, Onion, Garlic"
GLOBAL EATS,Lo Mein Noodles with Vegetables,"Lo Mein noodles with mushroom, carrots, bamboo shoots, and soy sauce",1/2 cup,"Water, Lo Mein Noodles, Mushrooms, Bamboo shoots (bamboo shoots, water), Carrots, Cabbage, Soy Sauce, Sesame Oil, Cornstarch, Sherry Cooking Wine, Salt, Sugar, Garlic",110,3,20,1,1.5,0,0,1,230,60+,10,0.4,-,0+,3+,15,0+,0+,"Gluten, Wheat, Soy, Garlic, Sulphites, Mushroom, Sesame, Alcohol"
GLOBAL EATS,Seasoned Edamame,Edamame sauteed with ginger and garlic,1/2 cup,"Edamame, Canola Oil, Garlic, Ginger, Salt",80,7,6,1,4,0,0,3,80,260,40,1.4,0,0,4,40,-,0,"Soy, Garlic"
MENUTAINMENT,Eggs Your Way,,1 each,Egg,60,6,0,0,4,1.5,165,0,60,60,20,0.8,0,35,0,40,-,0,Egg
MENUTAINMENT,Eggs,,1/4 cup,Liquid Egg,90,8,0,0,6,2,225,0,85,80,30,1.1,0,50,0,50,-,0,Egg
MENUTAINMENT,Egg Whites,two egg whites made-to-order,1/4 cup,Liquid Egg White,30,7,0,0,0,0,0,0,100,100,0,0,-,0,0,0,-,0+,Egg
MENUTAINMENT,Diced Bacon,,1 ounce,Bacon,130,10,0,0,10,3.5,30,0,480,140,0,0.3,0,5,0,90,-,5,"Pork, Gluten*"
MENUTAINMENT,Italian Sausage Crumbles,,1 ounce,Italian Sausage,90,5,less than 1 gram,0,7,2.5,25,0,230,100,0,0.4,0,10,0,70,-,5,"Soy, Mustard*, Celery*, Pork"
MENUTAINMENT,Diced Ham,,1 ounce,Ham,35,4,2,less than 1 gram,1,0,15,0,360,200,0,0.2,0,170,0,10,0,0,"Pork, Gluten*"
MENUTAINMENT,Shredded Sharp American Cheese,,1 ounce,American Cheese,100,5,1,less than 1 gram,9,5,30,0,470,40,300,0.2,0,90,0,80,-,5,"Beef*, Milk, Pork*"
MENUTAINMENT,Baby Spinach,,1/4 ounce,Spinach,0,0,0,0,0,0,0,0,5,40,10,0.2,0,0,2,0,-,0,
MENUTAINMENT,Sliced Mushrooms,,1 ounce,Mushrooms,5,less than 1 gram,less than 1 gram,less than 1 gram,0,0,0,0,0,90,0,0.1,0,0,1,0,-,0,Mushroom
MENUTAINMENT,Diced Tomatoes,,1 ounce,Tomatoes,5,0,1,less than 1 gram,0,0,0,0,0,70,0,0.1,0,0,4,0,-,0,Tomato
MENUTAINMENT,Chopped Green Bell Pepper,,1 ounce,Green Bell Peppers,5,0,1,less than 1 gram,0,0,0,0,0,50,0,0.1,0,0,23,0,-,0,
MENUTAINMENT, Diced Onions,,1 ounce,Onions,10,0,3,1,0,0,0,0,0,40,10,0.1,0,0,2,0,-,0,Onion
FLAME,Hamburger Patty,Ground sirloin patty grilled to perfection ,1 each,Beef,170,16,0,0,11,4,55,0,45,190,10,1.5,0,0,0,100,-,5,Beef
FLAME,Grilled Chicken,Tender and moist,1 each,Chicken,120,23,0,0,3,1,80,0,140,260,0,0.4,0,0,0,25,-,0,Poultry
FLAME,All Beef Hot Dog,,1 each,Beef Hot Dog,180,7,2,less than 1 gram,17,7,35,0,480,140,10,0.7,-,20,-,150,-,5+,Beef
FLAME,Onions and Peppers,Sauteed onions and sweet bell peppers,1/2 cup,"Green Bell Peppers, Onions, Butter, Black Pepper",130,1,7,3,11,7,30,2,90,160,20,0.3,0,0,40,100,-,5,"Milk, Onion"
FLAME,French Fries,,3 ounce,French Fries,160,1,18,0,10,0,0,1,20,270,0,0,0,0,0+,90,-,0+,Soy
FLAME,White Hot Dog Bun,,1 each,Hot Dog Bun,100,3,19,2,1,0,0,less than 1 gram,160,30,30,1.3,0,0,-,10,-,0,"Gluten, Wheat, Soy*"
FLAME,White Hamburger Bun,White Hamburger Bun,1 each,Burger Bun,150,4,28,4,2,0,0,0,280,50,50,1.5,0,0,-,20,-,0,"Gluten, Wheat, Soy, Egg*, Milk*, Tree Nuts*, Sesame"
FLAME,American Cheese Slice,,1 slice,American Cheese,50,3,less than 1 gram,0,4.5,2.5,15,0,240,20,150,0.1,0,45,0,40,-,5,"Beef*, Milk, Pork*"
DELI,Sliced Genoa Salami,,1 ounce,Genoa Salami,120,5,0,0,11,4,30,0,480,-,0,0.4,0,-,7,100,-,5,"Beef, Garlic, Mustard*, Celery*, Pork"
DELI,Sliced Capicola,,1 ounce,Capicola,35,5,2,less than 1 gram,1,0,15,0,440,80,0,0.3,0,-,-,10,-,0,"Soy*, Pork, Gluten*, Wheat*"
DELI,Sliced Smoked Ham,,1 ounce,Ham,35,5,0,0,1.5,0.5,15,0,330,90,0,0.2,0,10,0,15,-,0,"Pork, Gluten*, Wheat*"
DELI,Thinly Sliced Deli Turkey Breast,,1 ounce,Turkey,30,4,less than 1 gram,0,1,0,15,0,260,40,0,0.2,0,0,0,10,0,0,Poultry
DELI,FIT Tuna Salad,Classic tuna salad ,3 oz portion,"Tuna, Canola Oil, Onions, Celery, Lemon Juice, Light Mayonnaise, Salt, Black Pepper",90,8,less than 1 gram,0,6,0.5,15,0,240,90,10,0.7,0,20,1,50,0+,0,"Egg, MSG*, Onion, Soy*, Mustard, Gluten*, Fish, Celery"
DELI,Chicken Salad,"Moist chicken salad, in a low fat dressing",1/3 cup,"Chicken, Mayonnaise, Celery, White Pepper",110,8,0,0+,9,1.5,30,0,150,130,0,0.2,0,0,0,80,5+,0,"Egg, Onion, Poultry, Mustard, Gluten*, Celery"
DELI,American Cheese Slice,,1 slice,American Cheese,50,3,less than 1 gram,0,4.5,2.5,15,0,240,20,150,0.1,0,45,0,40,-,5,"Beef*, Milk, Pork*"
DELI,Sliced Swiss Cheese,,1 ounce,Swiss Cheese,110,8,0,0,9,5,25,0,55,20,250,0,0,0,0,80,-,5,Milk
DELI,Sliced Sharp Cheddar Cheese,,1 ounce,Cheddar Cheese,110,6,less than 1 gram,0,9,5,30,0,190,20,200,0,-,5,0,80,-,5+,Milk
DELI,Sliced Provolone Cheese,,1 ounce,Provolone Cheese,100,7,less than 1 gram,0,8,5,20,0,210,40,210,0.1,-,5,0,70,-,5+,Milk
DELI,Sliced Pepper Jack Cheese,,1 ounce,Pepper Jack Cheese,110,7,0,0,9,5,25,0,170,20,210,0.2,-,5,0,80,-,5+,Milk
DELI,Chopped Romaine Lettuce,,1 cup,Chopped Lettuce,10,less than 1 gram,2,less than 1 gram,0,0,0,less than 1 gram,0,120,20,0.5,0,0,2,0,-,0,
DELI,Baby Spinach,,2 cup,Spinach,15,2,2,0,0,0,0,1,45,330,60,1.6,0,0,17,0,-,0,
DELI,Sliced Tomatoes,,1 slice,Tomatoes,0,0,less than 1 gram,0,0,0,0,0,0,30,0,0,0,0,2,0,-,0,Tomato
DELI,Sliced Red Onion,,1 slice,Onions,5,0,1,less than 1 gram,0,0,0,0,0,20,0,0,0,0,1,0,-,0,Onion
DELI,Bread & Butter Pickles,,4 each,Pickles,25,0,6,6,0,0,0,0,160,0,0,0,0,0,-,0,-,0,"Beef*, Pork*, Mustard*"
DELI,Banana Pepper Rings,,1 tbsp,Banana Peppers,0,0,0,0,0,0,0,0,30,-,0,0,0,-,0,0,0,0,Sulphites
DELI,Sliced Cucumber,,1/4 cup,Cucumber,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,-,0,
DELI,Sliced Red Bell Pepper,,1/4 cup,Red Bell Peppers,5,0,1,less than 1 gram,0,0,0,0,0,50,0,0.1,0,0,29,0,-,0,
DELI,Mayonnaise,,1 tbsp,Mayonnaise,90,0,0,0,10,1.5,5,0,75,0,0,0,0,0,0,90,0,0,"Egg, Onion, Mustard, Gluten*"
DELI,Pesto Mayonnaise,Pesto Mayonnaise,1 tbsp,"Mayonnaise, Basil Pesto, Salt, Black Pepper",90,0,0,0,9,1.5,5,0,90,10,10,0.1,0,0,0,80,10+,0,"Milk, Egg, Onion, Garlic, Mustard, Gluten*"
DELI,Chipotle Garlic Ranch,"Ranch dressing, roasted garlic and chipotle peppers",2 tbsp,"Ranch Dressing, Garlic, Chipotle Peppers, Canola Oil, Black Pepper",130,0,1,1,14,2,10,0,180,0,0,0,0,0,0+,130,-,0,"Milk, Egg, Onion, Tomato, Garlic, Mustard*, Celery*"
DELI,Dijon Honey Dressing,,2 tbsp,Honey Mustard Dressing,130,0,7,6,12,2,15,0,160,10,0,0,0,0,-,100,0,0,"Egg, Celery*, Mustard"
DELI,Yellow Mustard,,1 tbsp,Yellow Mustard,10,less than 1 gram,less than 1 gram,0,0.5,0,0,less than 1 gram,170,20,10,0.3,0,0,0,0,-,0,"Garlic, Mustard"
DELI,Olive Oil,,1 floz,Olive Oil,240,0,0,0,27,3.5,0,0,0,0,0,0.2,-,0,0,240,-,5+,
DELI,Red Wine Vinegar,,1 floz,Red Wine Vinegar,5,0,0,0,0,0,-,0,0,10,0,0.1,0,-,0,0,-,0,Sulphites
DELI,White Bread,,1 slice,White Bread,80,3,15,1,1,0,0,less than 1 gram,130,30,30,1,0,0,-,5,-,0,"Gluten, Wheat, Soy, Egg*, Milk*, Sesame*"
DELI,Whole Wheat Bread,,1 slice,Whole Wheat Bread,110,4,21,3,2,0,0,3,170,100,40,0.9,0,0,-,20,-,0,"Gluten, Wheat, Soy, Milk*, Tree Nuts*"
DELI,Kaiser Roll,,1 each,Kaiser Roll,240,7,43,3,4.5,0,0,1,410,90,70,2,0,0,-,40,-,0,"Gluten, Wheat, Egg"
DELI,Hoagie Roll,,1 each,Hoagie Roll,200,6,36,0,3,0.5,0,2,410,80,60,1.9,-,0,0,25,-,0+,"Gluten, Wheat, Soy"
