Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
FRESH 52 A,Diced Bacon,,1 ounce,Bacon,130,10,0,0,10,3.5,30,0,480,140,0,0.3,0,5,0,90,-,5,"Pork, Gluten*"
FRESH 52 A,Shredded Cheddar Cheese,,1 ounce,Cheddar Cheese,110,6,less than 1 gram,0,9,5,30,0,190,20,200,0,-,5,0,80,-,5+,Milk
FRESH 52 A,Roasted Butternut Squash,,1 ounce,"Squash, Canola Oil, Salt, Black Pepper",20,0,3,less than 1 gram,0.5,0,0,less than 1 gram,45,100,10,0.2,0,0,6,5,-,0,
FRESH 52 A,Shredded Parmesan Cheese,,1 ounce,Parmesan Cheese,120,11,less than 1 gram,0,8,5,20,0,480,30,360,0.2,-,5,0,70,-,5+,Milk
FRESH 52 A,Classic Caesar Dressing,,1 floz,Caesar Dressing,150,1,less than 1 gram,0,16,3,15,0,220,10,30,0.1,0,0,1,140,5,5,"Milk, Egg, Onion, Garlic, Mustard, Fish"
FRESH 52 A,Sesame Dressing,,1 floz,Asian Sesame Dressing,80,0,12,10,4,0,0,0,320,0,0,0,0,0,0,35,0,0,"Gluten, Wheat, Soy, Garlic, Mustard*, Celery*, Sesame"
FRESH 52 A,Balsamic Vinaigrette Dressing,,1 floz,Balsamic Vinaigrette,60,0,5,4,4.5,0,0,0,190,0,-,0,0,0,-,45,-,0,"Garlic, Mustard*, Celery*"
FRESH 52 A,Fat Free Raspberry Dressing,,1 floz,Raspberry Vinaigrette,30,0,8,7,0,0,0,0,75,0,0,0,0,-,-,0,-,0,"Onion, Garlic"
FRESH 52 A,Homestyle Ranch Dressing,,1 floz,Ranch Dressing,100,0,less than 1 gram,less than 1 gram,11,1.5,10,0,250,0,0,0,0,-,0,100,-,0,"Milk, Egg, Mustard*, Celery*, MSG"
FRESH 52 A,Fat Free Italian Dressing,,1 floz,Italian Dressing,15,0,3,2,0,0,0,0,470,0,0,0,0,0,-,0,-,0,"Onion, Garlic, Mustard*, Celery*"
FRESH 52 A,Blue Cheese Dressing,,1 floz,Blue Cheese Dressing,160,0,1,1,16,3.5,15,0,270,0,0,0,0,-,-,140,-,5,"Milk, Egg, Onion, Garlic, MSG, Mustard"
